epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
137,8708.34,2.03836,0.93893,1.60928,0.68424,0.56235,0.62911,0.29967,2.01362,0.97349,1.49121,0.0009424,0.0009424,0.0009424
138,8773.26,2.0354,0.93846,1.60063,0.63854,0.62118,0.63467,0.30333,2.0127,0.95546,1.49591,0.0008758,0.0008758,0.0008758
139,8840.67,2.00735,0.9404,1.58383,0.64356,0.62353,0.63047,0.30485,2.00769,0.94093,1.50231,0.0008092,0.0008092,0.0008092
140,8910.52,1.99147,0.89609,1.58694,0.6952,0.58824,0.64393,0.30148,1.99638,0.93809,1.49198,0.0007426,0.0007426,0.0007426
141,8978.86,1.97175,0.88834,1.55467,0.68872,0.58353,0.64114,0.30099,1.99212,0.92057,1.48707,0.000676,0.000676,0.000676
142,9042.22,1.84486,0.86877,1.48283,0.7386,0.55529,0.65442,0.30482,1.97063,0.87436,1.4804,0.0006094,0.0006094,0.0006094
143,9105.22,1.90129,0.85298,1.54328,0.74744,0.56,0.66394,0.31377,1.97316,0.84238,1.49195,0.0005428,0.0005428,0.0005428
144,9173.57,1.87331,0.85848,1.50911,0.64569,0.63462,0.6587,0.31256,1.97698,0.85225,1.49452,0.0004762,0.0004762,0.0004762
145,9242.91,1.83827,0.81806,1.48449,0.69011,0.58687,0.6488,0.31039,1.96838,0.86013,1.49268,0.0004096,0.0004096,0.0004096
146,9312.07,1.80976,0.77664,1.4856,0.74446,0.57647,0.6711,0.32001,1.95688,0.91274,1.48586,0.000343,0.000343,0.000343
147,9379.02,1.84997,0.80891,1.51196,0.69567,0.58353,0.66461,0.3162,1.95668,0.88681,1.47931,0.0002764,0.0002764,0.0002764
148,9446.91,1.87653,0.7896,1.52002,0.69333,0.57882,0.65405,0.31335,1.95477,0.88941,1.48009,0.0002098,0.0002098,0.0002098
149,9518.36,1.88062,0.86271,1.53189,0.67295,0.59059,0.65184,0.31626,1.95267,0.89482,1.4848,0.0001432,0.0001432,0.0001432
150,9588.73,1.95062,0.8192,1.57949,0.69038,0.58588,0.65385,0.32157,1.95561,0.8826,1.48661,7.66e-05,7.66e-05,7.66e-05
